name	institution
Martin Aberhan	Museum f&uuml;r Naturkunde, Berlin
Marina Aguirre	Universidad Nacional de la Plata
Warren Allmon	Paleontological Research Institution
John Alroy	Macquarie University
Michael Amler	Ludwig-Maximilians-Universit&auml;t M&uuml;nchen
Gernot Arp	Universit&auml;t G&ouml;ttingen
William Ausich	Ohio State University
Diego Balseiro	Universidad Nacional de C&oacute;rdoba
Richard Bambach	Harvard University
Rosemarie Baron-Szabo	NULL
Paul Barrett	Natural History Museum
Chris Beard	Carnegie Museum of Natural History
Brian Beatty	New York College of Osteopathic Medicine
Anna Behrensmeyer	Smithsonian Institution
Mark Bell	University College London
Chris Bell	University of Texas at Austin
Roger Benson	University of Cambridge
Mike Benton	University of Bristol
Laura Bishop	Liverpool John Moores University
David Blackburn	California Academy of Sciences
Brian Bodenbender	Hope College
Nicole Bonuso	California State University - Fullerton
David Bottjer	University of Southern California
Paul Bown	University College London
Kevin Boyce	University of Chicago
Clint Boyd	South Dakota School of Mines and Technology
Carl Brett	University of Cincinnati
Chris Brochu	University of Iowa
Nancy Budd	University of Iowa
Luc Bulot	Universit&eacute; de Provence
Richard Butler	LMU M&uuml;nchen
Matt Carrano	Smithsonian Institution
Lionel Cavin	Bex, Switzerland
Fabrizio Cecca	Universit&eacute; Pierre et Marie Curie
Cinzia Cervato	Iowa State University
Lisa Churchill-Dickson	Augusta, Maine
Matthew Clapham	University of California, Santa Cruz
Will Clyde	University of New Hampshire
Michael Coates	University of Chicago
Phoebe Cohen	Massachusetts Institute of Technology
Mario Cozzuol	Universidade Federal de Minas Gerais
Sylvie Crasquin	Universit&eacute; Pierre et Marie Curie
Darin Croft	Case Western Reserve University
Gilles Cuny	Zoologisk Museum K&oslash;benhavns Universitet
Kristi Curry Rogers	Science Museum of Minnesota
Wasila Dahdul	University of South Dakota
Taniel Danelian	Universit&eacute; Lille 1
Richard Davis	College of Mount St. Joseph
Vladimir Davydov	Boise State University
Kenneth De Baets	Universit&auml;t Z&uuml;rich
Brad Deline	University of Cincinnati
Bill DiMichele	Smithsonian Institution
Alexander Doweld	National Institute of Carpology
Malte Ebach	University of New South Wales
Jan &Oslash;ve Ebbestad	Uppsala Universitet
Gunther Eble	CNRS, Universit&eacute; de Bourgogne
Greg Edgecombe	Natural History Museum
Tony Ekdale	University of Utah
Doug Erwin	Smithsonian Institution
Emmanuel Fara	CNRS, Universit&eacute; de Bourgogne
Susanne Feist-Burkhardt	Natural History Museum
Rodney Feldmann	Kent State University
Zoe Finkel	Mount Allison University
Seth Finnegan	University of California, Berkeley
Valentin Fischer	University of Liège
Michael Foote	University of Chicago
Mikael Fortelius	University of Helsinki
Scott Foss	Bureau of Land Management
Jörg Fröbisch	Museum f&uuml;r Naturkunde, Berlin
Franz Fursich	Universit&auml;t Erlangen-N&uuml;rnberg
Diego Garc&iacute;a-Bellido	Universidad Complutense de Madrid
Kenneth Gass	NULL
Robert Gastaldo	Colby College
Pat Gensel	University of North Carolina
Simon Goring	University of Wisconsin-Madison
Anjali Goswami	University College London
Sofie Gouwy	Royal Belgian Institute of Natural Sciences
Eric Grimm	Illinois State Museum
Thor Hansen	Western Washington University
Paul Harnik	National Evolutionary Synthesis Center
David Harper	Geologisk Museum, Koebenhavn
Peter Harries	University of South Florida
Joseph Hartman	University of North Dakota
Dave Harwood	University of Nebraska, Lincoln
Jason Head	University of Nebraska-Lincoln
Noel Heim	Stanford University
Austin Hendy	University of Florida
Achim Herrmann	Arizona State University
Steven Holland	University of Georgia
Pat Holroyd	University of California, Berkeley
Melanie Hopkins	Universit&auml;t Erlangen-N&uuml;rnberg
David Horn	Ohio State University
Carol Hotton	National Center for Biotechnology Information
Brian Huber	Smithsonian Institution
Nigel Hughes	University of California, Riverside
John Hunter	Ohio State University
Linda Ivany	Syracuse University
Dave Jablonski	University of Chicago
Dave Jacobs	University of California, Los Angeles
Carlos Jaramillo	Smithsonian Tropical Research Institute
Phillip Jardine	University of Birmingham
James Jepson	University of Manchester
Kirk Johnson	Smithsonian Institution
Sarah Joomun	University of Oxford 
Thomas Kammer	West Virginia University
Mimi Katz	Rutgers University
Richard Kay	Duke University
Paul Kenrick	Natural History Museum
Erika Kido	Karl-Franzens-Universit&auml;t Graz
Sue Kidwell	University of Chicago
Wolfgang Kiessling	Universit&auml;t Erlangen-N&uuml;rnberg
James Klaus	University of Miami
Andy Knoll	Harvard University
Dieter Korn	Museum f&uuml;r Naturkunde, Berlin
Matt Kosnik	Macquarie University
Michal Kowalewski	University of Florida
Elizabeth Kowalski	South Dakota School of Mines and Technology
Rich Krause	Yale University
Juergen Kriwet	Universit&auml;t Wien
Zack Krug	University of Chicago
Pierre Kruse	Northern Territory Geological Survey
Björn Kröger	Museum f&uuml;r Naturkunde, Berlin
Daniel Ksepka	North Carolina State University
Michal Kucera	Universit&auml;t T&uuml;bingen
Evelyn Kustatscher	Naturmuseum S&uuml;dtirol/Museo di Scienze Naturali Alto Adige
Conrad Labandeira	Smithsonian Institution
Fr&eacute;d&eacute;ric Lacombat	Mus&eacute;e Crozatier
Marc Laflamme	Yale University
Matthew Lamanna	Carnegie Museum of Natural History
Rich Lane	National Science Foundation
Karen Layou	College of William and Mary
Iuliana Lazar	Universitatea din Bucuresti
David Lazarus	Museum f&uuml;r Naturkunde, Berlin
Jackie Lees	University College London
Bertrand Lefebvre	Universit&eacute; Claude Bernard
Scott Lidgard	Field Museum of Natural History
Alex Lin	Nanjing Institute of Geology and Palaeontology
Lee Hsiang Liow	University of Oslo
Graeme Lloyd	University of Oxford
Rowan Lockwood	College of William and Mary
Steven LoDuca	Eastern Michigan University
Cindy Looy	University of California, Berkeley
Rick Lupia	University of Oklahoma
Paula Mabee	University of South Dakota
Nikolaus Malchus	Universitat Aut&ograve;noma de Barcelona
Philip Mannion	Imperial College London
Chris Maples	Indiana University
Jonathan Marcot	University of Illinois at Urbana-Champaign
Charles Marshall	University of California, Berkeley
Alistair McGowan	University of Glasgow
Mike McKinney	University of Tennessee
Chris McRoberts	SUNY Cortland
Hanneke Meijer	Naturalis
Jin Meng	American Museum of Natural History
Dave Meyer	University of Cincinnati
James Mickle	North Carolina State University
Arnold Miller	University of Cincinnati
Jennifer Morris	University of Sheffield
Ryosuke Motani	University of California, Davis
Johannes Mueller	Museum f&uuml;r Naturkunde, Berlin
Nathalie Nagalingum	Royal Botanic Gardens and Domain Trust
David Nicholson	Natural History Museum, London
Karl Niklas	Cornell University
Phil Novack-Gottshall	Benedictine University
Alexander Nützel	BSPG
Robin O'Keefe	Marshall University
Maureen O'Leary	SUNY Stony Brook
Todd Oakley	University of California, Santa Barbara
Tom Olszewski	Texas A & M
József Pálfy	Hungarian Natural History Museum
Maria Rita Palombo	Istituto di Geologia Ambientale e Geoingegneria
Dhirendra Kumar Pandey	University of Rajasthan
James Parham	Field Museum of Natural History
Lisa Park	University of Akron
Mark Patzkowsky	Penn State
Paul Pearson	Cardiff University
Shanan Peters	University of Wisconsin-Madison
Hermann Pfefferkorn	University of Pennsylvania
David Plachetzki	University of California, Santa Barbara
Roy Plotnick	University of Illinois at Chicago
Gavin Prideaux	Flinders University
Nick Pyenson	University of California, Berkeley
Oliver Rauhut	BSPG
Dave Raup	University of Chicago
Anne Raymond	Texas A & M
Denne Reed	University of Texas at Austin
Allister Rees	University of Arizona
Robert Reisz	University of Toronto at Mississauga
Greg Retallack	University of Oregon
Florent Rivals	Universitat Rovira i Virgili
Ray Rogers	Macalester College
Kaustuv Roy	University of California, San Diego
Dana Royer	Wesleyan University
Marcello Ruta	University of Bristol
Lauren Sallan	University of Michigan
Rolf Schmidt	Museum Victoria
Jay Schneider	NULL
Carrie Schweitzer	Kent State University
Baba Senowbari-Daryan	Universit&auml;t Erlangen-N&uuml;rnberg
Jack Sepkoski	University of Chicago
Jocelyn Sessa	Smithsonian Institution
Peter Sheehan	Milwaukee Public Museum
Chris Sidor	University of Washington
Hallie Sims	University of Iowa
Dena Smith	University of Colorado
Andrew Smith	Natural History Museum
Selena Smith	University of Michigan
Ashwini Srivastava	Integral University
George Stanley	University of Montana
Bill Stein	Binghamton University
Alycia Stigall	Ohio University
Thomas Suttner	Karl-Franzens-Universit&auml;t Graz
Sebastian Teichert	University of Erlangen
Bruce Tiffney	University of California, Santa Barbara
Adam Tomasovych	Geological Institute SAS
Takehisa Tsubamoto	Hayashibara Museum of Natural Sciences
Alan Turner	Liverpool John Moores University
Mark Uhen	George Mason University
Test User	formerly Anders Tychsen, Geologisk Museum, Koebenhavn
Lars van den Hoek Ostende	Naturalis
Matthew Vavrek	Royal Ontario Museum
Loic Villier	Universit&eacute; Pierre et Marie Curie
Olev Vinn	University of Tartu
Henk Visscher	Universiteit Utrecht
Pete Wagner	Smithsonian Institution
Xiaoming Wang	Natural History Museum of Los Angeles
Hongshan Wang	University of Florida
Rodney Watkins	Milwaukee Public Museum
Mark Webster	University of Chicago
Gary Webster	Washington State University
Lars Werdelin	Swedish Museum of Natural History
Robin Whatley	Smithsonian Institution
Peter Wilf	Penn State
Oliver Will	University of Canterbury
Thomas Williamson	New Mexico Museum of Natural History and Science
Scott Wing	Smithsonian Institution
Woody Wise	Florida State University
Mark Young	University of Bristol
Jeremy Young	Natural History Museum
Samuel Zamora	Smithsonian Institution
Andrey Zhuravlev	All-Russian Geological Research Institute
William Zinsmeister	Purdue University
