authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,pubvol,pubno,firstpage,lastpage,created,modified,publication_type,comments,project_name,project_ref_no
"J. Sepkoski","M. Sommers",,13,"J. J.","Sepkoski Jr.",,,,1998,,,,,,,"1998-11-19 13:25:30",19981119132530,,,,
"M. Patzkowsky","K. Bezusko-Layou",,46,"M. E.",Patzkowsky,"S. M.",Holland,,1999,"Biofacies Replacement in a Sequence Stratigraphic Framework:  Middle and Upper Ordovician of the Nashville Dome, Tennessee, USA","Palaios		",14,4,,,"1999-06-03 06:14:12",19990603061412,,,,
"A. Miller","P. Novack-Gottshall",,80,"K. D.",Corbett,"M. R.",Banks,,1974,"Ordovician stratigraphy of the Florentine Synclinorium, southwest Tasmania","Papers and Proceedings of the Royal Society of Tasmania",107,,207,238,"1999-07-14 06:40:05",19990714064005,,,,
"A. Miller","P. Novack-Gottshall",,81,C.,Burrett,B.,Strait,"C. Sharples, J. Laurie",1984,"Middle-Upper Ordovician shallow platform to deep  basin transect, southern Tasmania, Australia","In Aspects of the Ordovician System.  D.L. Bruton, ed.  Palaeontological Contributions from the University of Oslo",295,,149,157,"1999-07-14 10:35:07",19990714103507,,,,
"A. Miller","P. Novack-Gottshall",,86,"I. G.",Percival,,,,1976,"The geology of the Licking Hole Creek area, near Walli, central western New South Wales","Journal and Proceedings of the Royal Society of New South Wales",109,1-2,7,23,"1999-07-15 04:55:54",19990715045554,,,,
"A. Miller","P. Novack-Gottshall",,92,I.,Percival,,,,1991,"Late Ordovician articulate brachiopods from central New South Wales, Australia","Memoir of the Association of Australasian Palaeontologists",11,,107,177,"1999-07-15 10:51:34",19990715105134,,,,
"A. Miller","P. Novack-Gottshall",,103,"P. M.",Sheehan,,,,1977,"Swedish Late Ordovician marine benthic assemblages and their bearing on brachiopod biogeography","In J. Grey and A. J. Boucot, eds.  Historical biogeography, plate tectonics, and the changing environment.  Oregon State University Press, Corvallis.",,,61,73,"1999-07-18 13:35:51",19990718133551,,,,
"A. Miller","P. Novack-Gottshall",,109,"A. W.",Owen,"D. L.",Bruton,"J. F. Bockelie, T. G. Vockelie",1990,"The Ordovician successions of the Oslo region, Norway","Norges Geologiske Undersolelse Special Publication",,4,1,54,"1999-07-18 13:48:56",19990718134856,,,,
"A. Miller","P. Novack-Gottshall",,118,"T. L.",Harland,,,,1981,"Middle Ordovician reefs of Norway",Lethaia,14,,169,188,"1999-07-18 14:01:09",19990718140109,,,,
"J. Alroy","M. Sommers",,128,"P. E.",Isaacson,B.,Antelo,"A. J. Boucot",1976,"Implications of a Llandovery (Early Silurian) brachiopod fauna from Salta Province, Argentina","Journal of Paleontology",50,6,1103,1112,"1999-07-21 11:28:20",19990721112820,,,,
"J. Alroy","M. Sommers",,129,M.,Smelror,"R. M.",Cocks,"A. Mork, B. E. E. Neuman, H. A. Nakrem",1997,"Upper Ordovician - Lower Silurian strata and biota from offshore South Norway","Norsk Geologisk Tidsskrift",77,,251,268,"1999-07-21 12:22:08",19990721122208,,,,
"J. Alroy","M. Sommers",,133,"S. J.",Nelson,"R. D.",Johnson,,1968,"Kaskattama no. 1 well, central Hudson Bay lowland, Manitoba, Canada","Bulletin of Canadian Petroleum Geology",16,4,431,445,"1999-07-23 08:49:00",19990723084900,,,,
"J. Alroy","M. Sommers",,134,"J. M.",Hurst,"R. K.",Pickerill,,1986,"The relationship between sedimentary facies and faunal associations in the Llandovery siliclastic Ross Brook Formation, Arisaig, Nova Scotia","Canadian Journal of Earth Science",23,,705,726,"1999-07-23 12:41:54",19990723124154,,,,
"J. Alroy","M. Sommers",,147,"J. T.",Temple,,,,1970,"The Lower Llandovery brachiopods and trilobites from Ffridd Mathrafal, near Meifod, Montgomeryshire","Palaeontological Society Monographs",124,527,1,76,"1999-07-27 13:47:15",19990727134715,,,,
"J. Alroy","M. Sommers",,148,"R. K.",Pickerill,"J. M.",Hurst,,1983,"Sedimentary facies, depositional environments, and faunal associations of the lower Llandovery (Silurian) Beechill Cove Formation, Arisaig, Nova Scotia","Canadian Journal of Earth Sciences",20,,1761,1779,"1999-07-27 15:50:49",19990727155049,,,,
"J. Alroy","M. Sommers",,155,R.,Wolfart,F.,Bender,"V. Stein",1968,"Stratigraphie und Fauna des Ober-Ordoviziums (Caradoc - Ashgill) and Unter-Silurs (Unter-Llandovery) von Sudjordanien","Geologisches Jahrbuch, Beihefte",85,,517,551,"1999-07-28 12:35:16",19990728123516,,,,
"J. Alroy","M. Sommers","J. Alroy",185,"O. K.",Bogolepova,J.,Kriz,,1995,"Ancestral forms of Bohemian type Bivalvia from the lower Silurian of Siberia (Tungusskaja Syneclise, Russia)",Géobios,28,6,691,699,"1999-07-30 09:46:50",20061230141236,,,,
"J. Alroy","M. Sommers",,187,"T. W.",Amsden,,,,1974,"Late Ordovician and Early Silurian articulate brachiopods from Oklahoma, southwestern Illinois, and eastern Missouri","Bulletin - Oklahoma Geological Survey",119,,1,154,"1999-07-30 12:47:47",19990730124747,,,,
"J. Alroy","M. Sommers",,188,"B. S.",Norford,,,,1962,"The Beaverfoot - Brisco Formation in the Stanford Range, British Columbia","Journal of the Alberta Society of Petroleum Geologists",10,7,443,453,"1999-07-30 15:05:13",19990730150513,,,,
"J. Alroy","M. Sommers",,196,"J. T.",Temple,,,,1987,"Early Llandovery brachiopods of Wales","Palaeontological Society Monographs",139,572,1,137,"1999-08-02 11:55:54",19990802115554,,,,
"J. Alroy","M. Sommers",,202,"J. T.",Temple,,,,1975,"Early Llandovery trilobites from Wales with notes on British Llandovery Calymenids",Palaeontology,18,1,137,159,"1999-08-03 14:13:44",19990803141344,,,,
"J. Alroy","M. Sommers",,203,"J. T.",Temple,,,,1975,"Early Llandovery trilobites from Wales with notes on British Llandovery Calymenids",Palaeontology,18,1,137,159,"1999-08-03 14:56:20",19990803145620,,,,
"P. Wagner","P. Wagner","P. Wagner",275,G.,Lindström,,,,1884,"The Silurian Gastropoda and Pteropoda of Gotland","Kongliga Svenska Vetenskaps-Akademiens Handlingasr",19,,1,250,"2002-03-04 16:40:29",20040818205341,,,,
"A. Miller","P. Novack-Gottshall",,287,X.,Wang,L.,Xian,"S. Ni, Q. Zheng, G. Xu, T. Zhou, C. Lai, Z. Li",1987,"Biostratigraphy of the Yangtze Gorge Area.  Part (2)  Early Paleozoic Era","Geological Publishing House,  Beijing",,,43,142,"1999-08-16 16:39:12",19990816163912,,,,
"A. Miller","P. Novack-Gottshall",,288,R.,Wang,,,,1981,"Stratigraphic Summary of the Southwestern Region of China","Institute of Geology and Mine Deposit at Chengdu,  Ministry of Geology (not published, copy of article deposited with A. I. Miller at the University of Cincinnati, received through S. Mao)",,,14,61,"1999-08-16 16:39:15",19990816163915,,,,
"J. Alroy","M. Sommers",,308,"B. S.",Norford,,,,1962,"The Silurian fauna of the Sandpile Group of northern British Columbia","Geological Survey of Canada Bulletin",78,,1,51,"1999-08-31 11:14:21",19990831111421,,,,
"J. Alroy","M. Sommers",,363,J.,Jin,P.,Copper,,1999,"The deep-water brachiopod Dicoelosia King, 1850, from the early Silurian tropical carbonate shelf of Anticosti Island, eastern Canada","Journal of Paleontology",73,6,1042,1055,"1999-12-01 11:58:48",19991201115848,,,,
"M. Patzkowsky","P. Borkow",,428,"J. F.",Taylor,"D. J.",Kennedy,,1991,"Uppermost Cambrian slope deoposits at Highgate Gorge, Vermont: a minor miscorrelation with major consequences for conodont - and trilobite - based chronocorrelation","Journal of Paleontology",65,5,855,863,"2000-04-03 17:12:16",20000403171216,,,,
"J. Alroy","M. Sommers",,437,"C. S.","Bartlett, Jr.","H. W.",Webb,,1971,"Geology of the Bristol and Wallace quadrangles, Virginia","Virginia Division of Mineral Resources Report of Investigations",25,,1,93,"2000-04-14 14:40:19",20000414144019,,,,
"A. Miller","P. Novack-Gottshall",,475,,"Guizhou Stratigraphic Work Group",,,,1977,"Regional stratigraphic table of the southwestern region of China, Guizhou part","Geological Publishing House, Beijing",,,,,"2000-05-24 07:17:23",20000524071723,,,,
"A. Miller","P. Novack-Gottshall",,476,,"Hunan Geology and Mine Deposit Bureau",,,,1988,"Summary of regional geology of Hu''nan Province, China","Geological Publishing House, Beijing, China",,,,,"2000-05-24 08:13:14",20000524081314,,,,
"A. Miller","P. Novack-Gottshall",,477,,"Stratigraphic Group of Central South China",,,,1974,"Regional stratigraphic data of central South China","Geological Publishing House, Beijing, China",,,,,"2000-05-24 08:16:02",20000524081602,,,,
"A. Miller","P. Novack-Gottshall",,478,,"Stratigraphic Group of Yunnan, China",,,,1978,"Regional stratigraphic data of Southwest China, Yunnan Province","Geological Publishing House, Beijing, China",,,,,"2000-05-24 08:17:57",20000524081757,,,,
"A. Miller","P. Novack-Gottshall",,479,,"Stratigraphic Group of Jiangxi, China",,,,1978,"Regional stratigraphic table of Eastern China, Jiangxi Province","Geological Publishing House, Beijing, China",,,,,"2000-05-24 08:20:01",20000524082001,,,,
"A. Miller","P. Novack-Gottshall",,480,,"Stratigraphic Group of Zhejiang, China",,,,1979,"Regional stratigraphic table of Eastern China, Zhejiang Province","Geological Publishing House, Beijing, China",,,,,"2000-05-24 16:04:24",20000524160424,,,,
"A. Miller","P. Novack-Gottshall",,481,,"Stratigraphic Group of AnHui, China",,,,1978,"Regional stratigraphic table of Eastern China, AnHui Province","Geological Publishing House, Beijing, China",,,,,"2000-05-24 16:06:35",20000524160635,,,,
"A. Miller","P. Novack-Gottshall",,482,,"Academy of Geological Sciences",,"Jiangsu Bureau of Petroleum Prospecting","Nanjing Institute of Geology and Paleontology, Academia Sinica",1988,"Sinian-Triassic biostratigraphy of the Lower Yangtze peneplatform in Jiangsu Region","Nanjing University Press, Nanjing, China",,,,,"2000-05-24 16:08:25",20000524160825,,,,
"A. Miller","P. Novack-Gottshall",,483,,"Regional Stratigraphic Group of Shanxi Province",,,,1983,"Regional stratigraphic table of Northwest China, Shanxi Province Part","Geological Publishing House, Beijing, China",,,,,"2000-05-24 16:10:41",20000524161041,,,,
"A. Miller","P. Novack-Gottshall",,485,,"Sichuan Stratigraphic Work Group",,,,1978,"Regional stratigraphic table of the southwestern region of China, Sichuan part","Geological Publishing House, Beijing, China",,,,,"2000-05-30 08:52:08",20000530085208,,,,
"A. Miller","P. Novack-Gottshall",,520,G.,Lai,,"et. al",,1982,"Stratigraphy of China.  No.5  The Ordovician System of China.  Geological Publishing House, Beijing, China",,,,46,49,"2002-03-04 16:40:29",20020304164029,,,,
"A. Miller","P. Novack-Gottshall",,521,,"North China Stratigraphic Group",,,,1979,"Regional Stratigraphic Table of North China.  Branch of HeBei Province and TianJin City.  Geological Publishing House, Beijing, China",,,,250,260,"2000-06-10 08:54:24",20000610085424,,,,
"A. Miller","P. Novack-Gottshall",,522,"R. C.",Zhang,Y.D.,Jiang,"Z.Q. Lun",1989,"Regional geology of SanXi Province regional geology","No. 18, Geological Publishing House, Beijing, China",,,129,134,"2002-03-04 16:40:31",20020304164031,,,,
"A. Miller","P. Novack-Gottshall",,523,"Y. S.",Zhang,,,,1983,"Stratigraphic table of northwestern region of China: ShaanXi Province part","Geological Publishing House, Beijing, China",,,12,28,"2002-03-04 16:40:31",20020304164031,,,,
"A. Miller","K. Bezusko-Layou","P. Wagner",535,"J. A.",Talent,,,,1965,"The Silurian and Early Devonian Faunas of the Heathcote District, Victoria","Geological Survey of Victoria Memoir",26,,1,55,"2000-06-14 09:42:27",20070101103334,"journal article",,,
"M. Patzkowsky","P. Borkow",,542,"J. B.",Jago,,,,1987,"Idamean (Late Cambrian) trilobites from the Denison Range, south-west Tasmania",Palaeontology,30,2,207,231,"2000-06-19 05:25:21",20000619052521,,,,
"J. Alroy","M. Sommers",,569,N.,Hiller,,,,1981,"The Ashgill rocks of the Glyn Ceirog district, North Wales","Geological Journal",16,,181,200,"2000-07-05 08:17:29",20000705081729,,,,
"M. Patzkowsky","P. Borkow",,594,C.,Lochman,C.,Hu,,1962,"An Aphelaspis Zone faunule from Logan, Montana","Journal of Paleontology",36,3,431,441,"2000-08-17 09:22:45",20000817092245,,,,
"A. Miller","P. Novack-Gottshall",,619,"J. L.",Benedetto,F.,Canas,"R. Astini",1986,"Braquiopodos y trilobites de la zona de transicion entre las Formaiones San Juan y Gualcamayo en el area de Guandacol (La Rioja, Argentina)","Actas del IV congreso Argentino de paleontologia y bioestratigrafia - Simposio: Bioestratigrafia del Paleozoico Inferior.  Ed. A. Cuerda",1,,103,111,"2002-03-04 16:40:30",20020304164030,,,,
"A. Miller","P. Novack-Gottshall",,654,O.,Lehnert,M.,Keller,,1993,"Posicion estratigrafica de los arrecifes Arenigianos en la Precordillera Argentina","Document du labortoire de Geologie de l''Universite de Lyon",125,,263,275,"2000-08-25 09:55:38",20000825095538,,,,
"A. Miller","P. Novack-Gottshall",,664,"S. H.",Peralta,,,,1995,"La Formacion Gualcamayo en la Sierra de Villicum: sus Graptolitos y fauna asociadas","Boletin de la Academia Nacional de Ciencas",60,3-4,401,408,"2002-03-04 16:40:33",20020304164033,,,,
"M. Patzkowsky","P. Borkow",,747,F.,Rasetti,,,,1963,"Additions to the Upper Cambrian fauna from the conglomerate boulders at Levis, Quebec","Journal of Paleontology",37,5,1009,1017,"2000-09-07 14:02:37",20000907140237,,,,
"M. Patzkowsky","P. Borkow",,751,C.,Lochman,"C. H.",Hu,,1960,"Upper Cambrian faunas from the northwest Wind River Mountains, Wyoming.  Part 1","Journal of Paleontology",34,5,793,834,"2000-09-07 20:16:22",20000907201622,,,,
"M. Patzkowsky","P. Borkow",,755,"M. G.",Clark,"A. B.",Shaw,,1968,"Paleontology of northwestern Vermont XVI. trilobites of the Upper Cambrian Gorge Formation (Upper Bed 3)","Journal of Paleontology",42,4,1014,1026,"2000-09-10 15:43:12",20000910154312,,,,
"M. Patzkowsky","P. Borkow",,756,"M. G.",Clark,"A. B.",Shaw,,1968,"Paleontology of northwestern Vermont. XV. trilobites of the Upper Cambrian Gorge Formation (Lower Part of Bed 3)","Journal of Paleontology",42,2,328,396,"2000-09-10 16:12:33",20000910161233,,,,
"M. Patzkowsky","P. Borkow",,795,"V. E.",Kurtz,,,,1975,"Franconian (Upper Cambrian) trilobite faunas from the Elvins Group of Southeast Missouri","Journal of Paleontology",49,6,1009,1043,"2000-09-26 09:34:17",20000926093417,,,,
"M. Patzkowsky","P. Borkow",,833,"J. H.",Stitt,,,,1983,"Enrolled Late Cambrian trilobites from the Davis Formation, southeast Missouri","Journal of Paleontology",57,1,93,105,"2000-12-09 15:26:17",20001209152617,"journal article",,,
"M. Patzkowsky","P. Borkow","P. Wagner",835,"E. L.",Yochelson,,,,1968,"Tremadocian mollusks from the Nochixtlan Region, Oaxaxa, Mexico","Journal of Paleontology",42,3,801,803,"2001-01-08 11:13:07",20050508173806,"journal article",,,
"M. Patzkowsky","P. Borkow",,837,"B. L.",Stinchcomb,,,,1975,"Paleoecology of two new species of Late Cambrian Hypseloconus (Monoplacophora) from Missouri","Journal of Paleontology",49,2,416,421,"2001-01-08 13:56:02",20010108135602,"journal article",,,
"M. Patzkowsky","P. Borkow",,842,"J. H.",Stitt,"W. M.",Straatmann,,1997,"Trilobites from the upper part of the Deadwood Formation (Upper Franconian and Trempealeauan stages, Upper Cambrain), Black Hills, SOuth Dakota","Journal of Paleontology",71,1,86,102,"2001-01-11 16:08:46",20010111160846,"journal article",,,
"M. Patzkowsky","P. Borkow",,860,"K. J.",Muller,,,,1983,"Crustacea with preserved soft parts from the Upper Cambrian of Sweden",Lethaia,16,2,93,109,"2001-01-30 09:08:33",20010130090833,"journal article",,,
"S. Holland","S. Holland","P. Wagner",3818,"D. M.",Rohr,E.A.,Measures,,2001,"Middle Ordovician (Whiterockian) gastropods of western Newfoundland: Macluritoidea and Euomphaloidea","Journal of Paleontology",75,2,284,294,"2002-03-04 16:40:30",20051112202931,"journal article",,,
"M. Patzkowsky","P. Borkow",,4021,"A. R.",Palmer,"J. W.",Cowie,"J. W. Eby",1981,"A Late Cambrian (Dresbachian, Crepicephalus Zone) fauna from the Boothia Peninsula, District of Franklin","Canada Geological Survey, Geological Survey Bulletin",,300,1,6,"2001-06-21 13:00:32",20010621130032,"journal article",,,
"M. Patzkowsky","P. Borkow","P. Borkow",4045,"W. T.",Dean,,,,1989,"Trilobites from the Survey Peak, Outram and Skoki Formations (Upper Cambrian-Lower Ordovician) at Wilcox Pass, Jasper National Park, Alberta)","Geological Survey of Canada Bulletin",,389,1,141,"2001-07-05 11:14:41",20010705111441,"serial monograph",,,
"M. Patzkowsky","Z. Krug",,4162,"W. G.",Ayrton,W.B.N.,Berry,"A.J. Boucot, J. Lajoie, P.J. Lesperance, L. Pavlides, W.B. Skidmore",1969,"Lower Llandovery of the Northern Appalachians and Adjacent Regions","Geological Society of America Bulletin",80,,459,484,"2002-03-04 16:40:36",20020304164036,"journal article",,,
"M. Patzkowsky","Z. Krug","Z. Krug",4171,"P. M.",Sheehan,P.J.,Lesperance,,1981,"Brachiopods from the White Head Formation (Late Ordovician-Early Silurian) of the Perce region, Quebec, Canada","IUGS Subcommission on Silurian Stratigraphy, Ordovician-Silurian Boundary Working Group, Field meeting, Anticosti-Gaspe, Quebec, 1981",2,,1,321,"2002-03-04 16:40:36",20040324072234,,,,
"M. Patzkowsky","Z. Krug","Z. Krug",4231,"P. J.",Lesperance,P.M.,Sheehan,,1976,"Brachiopods from the Hirnantian Stage (Ordovician-Silurian) at Perce, Quebec",Paleontology,19,4,719,731,"2002-03-04 16:40:37",20040324072304,"journal article",,,
"M. Patzkowsky","Z. Krug",,4246,"P. J.",Lesperance,,,,1974,"The Hirnantian fauna of the Perce area (Quebec) and the Ordovician-Silurian boundary","American Journal of Science",274,,10,30,"2002-03-04 16:40:37",20020304164037,"journal article",,,
"M. Foote","C. Simpson",,4340,"KH. S.",Rozman,,,,1999,"Silurian brachiopod communities of Mongolia","in A. J. Boucot and J. D. Lawson, eds., Paleocommunities - a case study from the Silurian and Lower Devonian",,,164,176,"2002-01-17 15:07:20",20020117150720,"book/book chapter",,,
"M. Foote","K. Koverman","P. Wagner",4379,"T. J.",Frest,"C. E.",Brett,"B. J. Witzke",1999,"Caradocian-Gedinnian echinoderm associations of Central and Eastern North America","Paleocommunities--a case study from the Silurian and Lower Devonian",,,638,783,"2002-01-24 10:05:11",20061231214300,"book/book chapter","in A. J. Boucot and J. D. Lawson, eds. Cambridge University Press, Cambridge.",,
"A. Miller","R. Krause","P. Wagner",6130,D.M.,Rohr,E.L.,Yochelson,,1990,"An unusual new Bellerophontacean Gastropod from the Ordovician (Whiterockian) of Nevada","Journal of Paleontology",64,6,956,960,"2002-04-15 15:44:29",20060315102505,"journal article","Specimens figured in this publication were measured for the Body Size Database for M. Kowalewski.",,
"M. Foote","M. Foote","P. Wagner",6138,L.,Liljedahl,,,,1994,"Silurian nuculoid and modiomorphid bivalves from Sweden","Fossils and Strata",,33,1,89,"2002-04-16 14:41:48",20051221161727,"serial monograph",,,
"M. Foote","M. Foote","M. Foote",6149,"D. A. T.",Harper,"S. H.",Williams,,2002,"A relict Ordovician brachiopod fauna from the Parakidograptus acuminatus Biozone (Lower Silurian) of the English Lake District",Lethaia,35,1,71,78,"2002-04-27 15:56:53",20020427155653,"journal article",,,
"A. Miller","R. Krause","P. Wagner",6152,D.M.,Rohr,,,,1996,"Ordovician (Whiterockian) gastropods of Nevada, Part 2","Journal of Paleontology",70,1,56,63,"2002-04-29 07:12:31",20060315102023,"journal article","Specimens figured in this publication were measured for the Body Size Database for M. Kowalewski.",,
"A. Miller","R. Krause","R. Krause",6153,D.M.,Rohr,R.A.,Johns,,1990,"First occurence of Oriostoma (Gastropoda) from the Middle Ordovician","Journal of Paleontology",64,5,732,735,"2002-04-29 07:41:23",20020429074123,"journal article","Specimens figured in this publication were measured for the Body Size Database for M. Kowalewski.",,
"A. Miller","P. Novack-Gottshall","P. Novack-Gottshall",6376,C,Babin,J,Destombes,,1990,"Les mollusques bivalves et rostroconches Ordoviciens de l’Anti-Atlas marocain: Intérêt paléogéographique de leur inventaire","Géologie Méditerranéenne",17,,243,261,"2002-06-05 07:23:56",20020605072356,"journal article",,,
"A. Miller","P. Novack-Gottshall","P. Novack-Gottshall",6377,J,Destombes,,,,1971,"L'ordovicien au Maroc; essai de synthese stratigraphique","Memoires du B.R.G.M.",73,,237,263,"2002-06-05 07:25:22",20020605072522,"journal article",,,
"W. Kiessling","B. Bookhagen","B. Bookhagen",6608,P.,Copper,"D. J.",Grawbarger,,1978,"Paleoecological succession leading to a late Ordovician biostrome on Manitoulin Island, Ontario","Canadian Journal of Earth Sciences",15,,1987,2005,"2002-07-04 04:57:51",20020704051858,"journal article",,,
"M. Foote","M. Foote","M. Foote",6640,R.,Ludvigsen,"R. P.",Tripp,,1990,"Silurian trilobites from the northern Yukon Territory","Life Sciences Contributions, Royal Ontario Museum",,153,1,59,"2002-07-09 07:29:28",20020709072928,"serial monograph",,,
"S. Holland","T. Hanson","T. Hanson",6686,"W. F.",Rice,"E. P.",Hedblom,,1987,"Brachiopods and trilobites of the Sardeson Beds in the Twin Cities","Middle and Late Ordovician lithostratigraphy and biostratigraphy of the Upper Mississippi Valley: Minnesota Geological Survey Report of Investigations 35",,,131,135,"2002-07-11 07:34:42",20020711073442,"serial monograph",,,
"S. Holland","T. Hanson","T. Hanson",6816,J.,Sprinkle,,,,1982,"Echinoderm zones and faunas","Echinoderm faunas from the Bromide Formation (Middle Ordovician) of Oklahoma: Lawrence, Kansas, University of Kansas Paleontological Institute Monograph 11",,,46,56,"2002-07-30 10:02:09",20020730100402,"serial monograph","Edited by J. Sprinkle.",,
"S. Holland","T. Hanson","T. Hanson",6866,"C. R.",Barnes,"A. A.",Petryk,"T. E. Bolton",1981,"Anticosti Island, Québec","Field meeting, Anticosti-Gaspé, Québec, 1981: IUGS Subcommssion on Silurian Stratigraphy, Ordovician-Silurian Boundary Working Group Guidebook",1,,1,24,"2002-08-04 17:22:58",20020804172258,guidebook,"Edited by P. J. Lespérance",,
"W. Kiessling","W. Kiessling","W. Kiessling",6873,M.,Keller,E.,Flügel,,1996,"Early Ordovician reefs from Argentina: stromatoporid vs stromatolite origin",Facies,34,,177,192,"2002-08-05 07:47:45",20020805074745,"journal article",,,
"S. Holland","T. Hanson","T. Hanson",6890,"W. B.",Skidmore,"P. J.",Lespérance,,1981,"Gaspé Peninsula, Percé area","Field meeting, Anticosti-Gaspé, Québec, 1981: IUGS Subcommssion on Silurian Stratigraphy, Ordovician-Silurian Boundary Working Group Guidebook ",1,,31,40,"2002-08-07 21:31:09",20020807213109,guidebook,"Edited by P. J. Lespérance.",,
