authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,pubvol,pubno,firstpage,lastpage,created,modified,publication_type,comments,project_name,project_ref_no
"M. Foote","M. Foote","M. Foote",7034,"A. J.",Boucot,"J. H. G.",Melo,"E. V. Santos Neto, S. Wolff",1991,"First Clarkeia and Heterorthella (Brachiopoda; Lower Silurian) occurrence from the Parana Basin in eastern Paraguay","Journal of Paleontology",65,3,512,514,"2002-08-27 16:15:26",20020827161526,"journal article",,,
"W. Kiessling","W. Kiessling","W. Kiessling",7071,"F. R.",Brunton,P.,Copper,,1994,"Paleoecologic, temporal, and spatial analysis of Early Silurian reefs of the Chicotte Formation, Anticosti Island, Quebec, Canada",Facies,31,,57,80,"2002-09-04 05:48:59",20020904054859,"journal article",,,
"M. Foote","M. Foote","M. Foote",7183,Y.,Wang,"A. J.",Boucot,"J.Y. Rong, X.C. Yang",1987,"Community paleoecology as a geologic tool: the Chinese Ashgillian-Eifelian (latest Ordovician through early Middle Devonian) as an example","Geological Society of America Special Paper",211,,1,100,"2002-09-24 08:03:19",20020924080453,"journal article",,,
"M. Foote","M. Foote","M. Foote",7215,"B. D. E.",Chatterton,"D. G.",Perry,,1983,"Silicified Silurian odontopleurid trilobites from the Mackenzie Mountains","Palaeontographica Canadiana",1,,1,55,"2002-10-01 08:55:48",20021001085548,"serial monograph",,,
"M. Foote","M. Foote","M. Foote",7216,"B. D. E.",Chatterton,"D. G.",Perry,,1984,"Silurian cheirurid trilobites from the Mackenzie Mountains, northwestern Canada","Palaeontographica Abteilung A",184,1-4,1,78,"2002-10-01 08:57:05",20021001085705,"journal article",,,
"M. Foote","M. Foote","M. Foote",7217,"D. J.",Siveter,"B. D. E.",Chatterton,,1996,"Silicified calymenid trilobites from the Mackenzie Mountains, northwest Canada","Palaeontographica Abteilung A",239,1-3,43,60,"2002-10-01 08:58:17",20021001140123,"journal article",,,
"M. Foote","M. Foote","M. Foote",7218,J.,Jin,"B. D. E.",Chatterton,,1997,"Latest Ordovician-Silurian articulate brachiopods and biostratigraphy of the Avalanche Lake area, southwestern District of Mackenzie, Canada","Palaeontographica Canadiana",13,,1,62,"2002-10-01 09:00:16",20021001090016,"serial monograph",,,
"M. Foote","M. Foote","M. Foote",7221,"D. I.",Johnston,"B. D. E.",Chatterton,,1983,"Some silicified Middle Silurian rostroconchs (Mollusca) from the Mackenzie Mountains, N.W.T., Canada","Canadian Journal of Earth Sciences",20,,844,858,"2002-10-01 15:50:31",20021001155031,"journal article",,,
"M. Foote","M. Foote","M. Foote",7222,"M. W.",Caldwell,"B. D. E.",Chatterton,,1995,"Phylogenetic analysis of some Silurian rostroconchs (Mollusca) from northwestern Canada","Canadian Journal of Earth Sciences",32,,806,827,"2002-10-01 15:51:39",20021001155139,"journal article",,,
"M. Foote","M. Foote","M. Foote",7227,"G. D.",Edgecombe,"B. D. E.",Chatterton,,1992,"Early Silurian (Llandovery) encrinurine trilobites from the Mackenzie Mountains, Canada","Journal of Paleontology",66,1,52,74,"2002-10-02 14:09:36",20021002140936,"journal article",,,
"M. Foote","M. Foote","M. Foote",7228,"G. D.",Edgecombe,"B. D. E.",Chatterton,,1990,"Systematics of Encrinuroides and Curriella (Trilobita), with a new Early Silurian encrinurine from the Mackenzie Mountains","Canadian Journal of Earth Sciences",27,,820,833,"2002-10-02 14:16:00",20021002141600,"journal article",,,
"M. Foote","M. Foote","M. Foote",7230,"G. D.",Edgecombe,,,,1994,"New Lower Silurian (Llandovery) encrinurine trilobites from the Mackenzie Mountains, Canada","Journal of Paleontology",68,4,824,837,"2002-10-02 14:24:22",20021002142422,"journal article",,,
"M. Foote","M. Foote","M. Foote",7232,"J. M.",Adrain,"B. D. E.",Chatterton,,1995,"Aulacopleurine trilobites from the Llandovery of northwestern Canada","Journal of Paleontology",69,2,326,340,"2002-10-02 14:31:09",20021002143109,"journal article",,,
"M. Foote","M. Foote","M. Foote",7233,"J. M.",Adrain,"B. D. E.",Chatterton,,1995,"The otarionine trilobites Harpidella and Maurotarion, with species from northwestern Canada, the United States, and Australia","Journal of Paleontology",69,2,307,326,"2002-10-02 14:39:05",20021002143906,"journal article",,,
"S. Holland","T. Hanson","T. Hanson",7267,"R. C.",Hussey,,,,1926,"The Richmond Formation of Michigan","Michigan University Contributions from the Museum of Geology",2,,113,188,"2002-10-11 20:18:05",20021011201805,"serial monograph","Edited by Eugene S. McCartney",,
"M. Foote","M. Foote","M. Foote",7341,"A. C.",Lenz,,,,1977,"Upper Silurian and Lower Devonian brachiopods of Royal Creek, Yukon Canada. Part 1. Orthoida, Strophomenida, Pentamerida, Rhynchonellida","Palaeontographica Abteilung A",159,1-3,37,109,"2002-10-21 14:03:36",20021021140532,"journal article",,,
"M. Foote","M. Foote","M. Foote",7455,"W. B. N.",Berry,"A. J.",Boucot,,1973,"Correlation of the African Silurian rocks","Geological Society of America Special Paper",147,,1,83,"2002-11-11 08:29:08",20021111082908,"serial monograph",,,
"M. Foote","M. Foote","M. Foote",7457,"L. R. M.",Cocks,"C. H. C.",Brunton,"A. J. Rowell, I. C. Rust",1970,"The first Lower Palaeozoic fauna proved from South Africa","Quarterly Journal of the Geological Society of London",125,,583,603,"2002-11-11 10:53:38",20021111105338,"journal article","Publication date 1970 [for 1969]",,
"M. Foote","M. Foote","M. Foote",7458,"L. R. M.",Cocks,"R. A.",Fortey,,1986,"New evidence on the South African Lower Palaeozoic: age and fossils reviewed","Geological Magazine",123,4,437,444,"2002-11-11 10:55:50",20021111105550,"journal article",,,
"M. Foote","M. Foote","M. Foote",7459,J.,Gray,"J. N.",Theron,"A. J. Boucot",1986,"Age of the Cedarberg Formation, South Africa and early land plant evolution","Geological Magazine",123,4,445,454,"2002-11-11 10:57:42",20021111105742,"journal article",,,
"M. Foote","M. Foote","M. Foote",7546,J.,Drot,J.-P.,Lecorche,,1971,"Sur la presence de Diabolirhynchia hollardi (Brachiopodes, Rhynchonellida) dans un niveau calcaire de l'Adrar mauritanien et ses consequences sur la stratigraphie du Siluro-Devonien de cette region","Annales de la Faculte des Sciences de Marseilles",46,,181,188,"2002-12-02 09:35:12",20021202093512,"journal article","This journal is also known as ""Annales de l'Universite de Provence: Sciences""",,
"S. Holland","T. Hanson","T. Hanson",7571,"R. C.",Frey,,,,1988,"Paleoecology of Treptoceras duseri (Michelinoceratida, Proteoceratidae) from Late Ordovician of southwestern Ohio","New Mexico Bureau of Mines and Mineral Resources Memoir",44,,79,101,"2002-12-07 12:44:21",20021207124421,"serial monograph","Compiled by Donald L. Wolberg",,
"M. Foote","M. Foote","M. Foote",7624,E.-z.,Mu,"A. J.",Boucot,"X. Chu, J.-y. Rong",1986,"Correlation of the Silurian rocks of China ","Geological Society of America Special Paper",202,,1,80,"2003-01-07 08:36:57",20030107083812,"serial monograph","Edited by A. J. Boucot and W. B. N. Berry",,
"P. Wagner","P. Wagner","P. Wagner",9042,P.J.,Wagner,,,,2006,"Paleozoic Gastropod, Monoplacophoran and Rostroconch Database",,,,,,"2003-08-28 19:06:09",20060303135810,unpublished,"Wagner’s Database",,
"S. Holland","S. Holland","S. Holland",9514,S.M.,Holland,,,,2003,"Unpublished field notes",,,,,,"2003-11-25 06:05:18",20031125060518,unpublished,,,
"S. Holland","S. Holland","S. Holland",9838,S.M.,Holland,M.E.,Patzkowsky,,2004,"Ecosystem structure and stability: middle Upper Ordovician of central Kentucky, USA  ",Palaios,19,4,,,"2004-02-11 06:39:51",20040211063951,"journal article","in press, page numbers will be entered after publication",,
"S. Holland","S. Holland","S. Holland",9956,S.H.,Williams,M.G.,Lockley,,1983,"Ordovician inarticulate brachiopods from graptolitic shales at Dob's Linn, Scotland; their morphology and significance","Journal of Paleontology",57,2,391,400,"2004-03-03 11:28:11",20040303112811,"journal article",,1%,
"S. Holland","S. Holland","S. Holland",10032,R.A.,Fortey,M.L.,Droser,,1996,"Trilobites at the base of the Middle Ordovician, western United States","Journal of Paleontology",70,1,73,991,"2004-03-15 11:34:36",20040315113436,"journal article",,1%,
"M. Patzkowsky","Z. Krug","Z. Krug",10061,L.R.M.,Cocks,T.L.,Modzalevskaya,,1997,"Late Ordovician brachiopods from Taimyr, Arctic Russia, and their palaeogeographical significance",Palaeontology,40,,1061,1093,"2004-03-19 08:01:07",20040319080107,"journal article",,,
"M. Patzkowsky","Z. Krug","Z. Krug",10070,L.,Hints,,,,1998,"Oandu stage (Caradoc) in central North Estonia","Proceedings of the Estonian Academy of Science",47,3,158,172,"2004-03-23 11:43:52",20040323114352,"journal article",,,
"S. Holland","S. Holland","S. Holland",10090,B.B.,Nazarov,L.Ye.,Popov,,1976,"Radiolarians, ecardine brachiopods and organisms of uncertain systematic position from the Middle Ordovician of eastern Kazakhstan","Paleontological Journal",10,4,33,42,"2004-03-25 05:26:35",20040325052635,"journal article",,1%,
"P. Wagner","P. Wagner","P. Wagner",10642,S.N.,Rozov,,,,1968,"A new genus of Late Cambiran mollusks of the Class Monoplacophora (Southern Part of the Siberian Platform)","Doklady Akademii Nauk SSSR, vol., no., pp.-, 1968",183,6,1427,1430,"2004-05-27 16:47:07",20040527164707,"journal article","This is the English translation of the article - note that the name is slightly different from that provided by GeoRef. ",1%,
"P. Wagner","P. Wagner","P. Wagner",10680,R.H.,Flower,,,,1968,"Part II - Fossils from the Smith Basin Limestone of the Fort Ann Region New York","New Mexico Institute of Mining and Technology Memoir",22,1,22,27,"2004-05-30 11:24:58",20040530112458,"journal article",,,
"M. Foote","M. Foote","M. Foote",10851,"D. J.",Holloway,,,,1994,"Early Silurian trilobites from the Broken River area, north Queensland","Memoirs of the Museum of Victoria",54,2,243,269,"2004-06-14 14:35:33",20040614143533,"journal article",,,
"P. Wagner","K. Koverman","P. Wagner",10926,"J. C.",Gutiérrez-Marco,J.,"Martin Sánchez",,1983,"Estudio de los monoplacoforos (Mollusca) del Ordovicico de los Montes de Toledo, Espana central","Estudios Geologicos",39,5-6,379,385,"2004-06-24 17:01:30",20040804183835,"journal article",,1%,
"P. Wagner","P. Wagner","P. Wagner",10956,J.,Pojeta,B.,Runnegar,,1976,"The paleontology of rostroconch mollusks and the early history of the phylum Mollusca","United States Geological Survey Professional Paper",968,,1,88,"2004-06-26 18:32:19",20060127163334,"serial monograph","Locality data typically summarizes information from older works; modern framework for rostroconch taxonomy is here. ",,
"P. Wagner","K. Koverman","K. Koverman",11346,"W. T.",Dean,,,,1961,"Trinucleid trilobites from the higher Dufton shales of the Caradoc series in the Cross Fell inlier  ","Proceedings of the Yorkshire Geological Society",33,2,119,131,"2004-08-03 11:25:27",20040803112527,"journal article",,1%,
"P. Wagner","P. Wagner","P. Wagner",11365,B.L.,Stinchcomb,N.A.,Angeli,,2002,"New Cambrian and Lower Ordovician monoplacophorans from the Ozark Uplift, Missouri","Journal of Paleontology",76,6,965,974,"2004-08-04 19:54:55",20040804195455,"journal article",,,
"P. Wagner","K. Koverman","K. Koverman",11371,R.,Ruedemann,,,,1906,"Cephalopoda of the Beekmantown and Chazy formations of the Champlain Basin","Bulletin of the New York State Museum, Paleontology  ",14,,389,611,"2004-08-05 09:40:19",20040805094019,"journal article",,1%,
"P. Wagner","P. Wagner","P. Wagner",11416,W.H.,Twenhofel,,,,1928,"Geology of Anticosti Island","Geological Survy of Canada Memoir",154,2132,1,351,"2004-08-10 11:22:19",20040810112219,"journal article",,,
"P. Wagner","K. Koverman","P. Wagner",11462,"W. T.",Dean,,,,1959,"The stratigraphy of the Caradoc series in the Cross Fell Inlier","Proceedings of the Yorkshire Geological Society",32,2,185,228,"2004-08-17 16:17:21",20040824113817,"journal article",,,
"P. Wagner","P. Wagner","P. Wagner",11467,R.C.,Frey,,,,1987,"The occurrence of pelecypods in early Paleozoic epeiric-sea environments, Late Ordovician of the Cincinnati, Ohio area",Palaios,2,1,3,23,"2004-08-18 10:11:23",20040818101123,"journal article",,,
"P. Wagner","P. Wagner","P. Wagner",11492,E.,Billings,,,,1865,"Palaeozoic fossils, volume 1","Geological Survey of Canada",,,1,426,"2004-08-18 16:41:37",20040818164137,"serial monograph",,,
"P. Wagner","P. Wagner","P. Wagner",11493,S.,Desbiens,T.E.,Bolton,"A.D. McCracken",1996,"Fauna of the lower Beauharnois Formation (Beekmantown Group, Lower Ordovician(, Grand île, Quebec","Canadian Journal of Earth Sciences",33,8,1132,1153,"2004-08-18 16:44:06",20040818164406,"journal article",,,
"P. Wagner","P. Wagner","P. Wagner",11494,D.M.,Rohr,,,,1980,"Ordovician - Devonian Gastropoda from the Klamath Mountains, California","Palaeontographica Abteilung A",171,,141,199,"2004-08-18 16:46:14",20060315101840,"serial monograph",,,
"P. Wagner","P. Wagner","P. Wagner",11495,D.M.,Rohr,,,,1994,"Ordovician (Whiterockian) gastropods of Nevada: Bellerophontoidea, Macluritoidea, Euomphaloidea","Journal of Paleontology",68,3,473,486,"2004-08-18 16:53:42",20060315102142,"journal article",,,
"P. Wagner","P. Wagner","P. Wagner",11499,J.S.,Peel,,,,1984,"Autecology and systematics of a new Silurian anomphalid gastropod from western Greenland","Rapport Grønlands Geologiske Undersøgelse",121,1,77,87,"2004-08-18 21:20:28",20060115151859,"journal article",,,
"P. Wagner","P. Wagner","P. Wagner",11505,J.,Bridge,P.E.,Cloud,,1947,"New gastropods and trilobites critical in the correlation of Lower Ordovician rocks","The American Journal of Science",245,,545,559,"2004-08-20 12:26:59",20051120113538,"journal article","Trilobites not added.",,
"P. Wagner","P. Wagner","P. Wagner",11508,R.L.,Heller,,,,1954,"Stratigraphy and paleontology of the Roubidoux Formation of Missouri","State of Missouri Department of Business and Administration, Division of Geological Survey and Water Resources",,,1,60,"2004-08-20 19:27:32",20050512105431,"book/book chapter",,,
"P. Wagner","P. Wagner","P. Wagner",11512,D.M.,Rohr,,,,1988,"Upper Ordovician gastropods from the Seward Peninsula, Alaska","Journal of Paleontology",62,4,551,566,"2004-08-20 21:30:10",20060315101811,"journal article",,,
"P. Wagner","K. Koverman","K. Koverman",11564,M.,Por,D.,"Gil Cid",,1971,"Nota sobre algunos Calymenáceos (Trilobites), del Ordovícico del los Montes de Toledo","Estudios Geologicos",27,,311,316,"2004-08-31 11:18:46",20040831111846,"journal article",,,
"W. Kiessling","W. Kiessling","W. Kiessling",11691,"R. S.",Shapiro,"J. K.",Rigby,,2004,"First occurrence of an in situ anthaspidellid sponge in a dendrolite mound (Upper Cambrian; Great Basin, USA)","Journal of Paleontology",78,4,645,650,"2004-09-17 03:21:39",20040917032139,"journal article",,,
"W. Kiessling","W. Kiessling","W. Kiessling",11778,"N. P.",James,"C. F.",Klappa,,1989,"Lithistid sponge bioherms, early Middle Ordovician, western Newfoundland","in (Geldsetzer, H.H.J., James, N.P. & Tebbutt, G.E., eds.): Reefs, Canada and adjacent areas. Canadian Soc. Petrol. Geologists, Memoir",13,,196,200,"2004-10-19 03:03:33",20041019030340,"book/book chapter",,,
"W. Kiessling","W. Kiessling","W. Kiessling",11779,"T. L.",Harland,"R. K.",Pickerill,,1989,"Patch reefs in Ordovician limestones, St.-Honoré, Quebec","in (Geldsetzer, H.H.J., James, N.P. & Tebbutt, G.E., eds.): Reefs, Canada and adjacent areas. Canadian Soc. Petrol. Geologists, Memoir",13,,201,207,"2004-10-19 03:16:11",20041019031611,"book/book chapter",,,
"P. Wagner","P. Wagner","P. Wagner",12086,J.,Perner,,,,1907,,"Gastéropodes, Tome 2: Pleurotomaridae et Murchisonidae",,,1,380,"2004-11-28 18:07:19",20041128180719,"book/book chapter",,,
"M. Aberhan","S. Nurnberg","S. Nurnberg",12253,A.,Ryymusoks,,,,1986,"Oculichasmops - novyy rod trilobitov iz podsemeystva Chasmopinae. Oculichasmops - a new genus of the trilobite subfamily Chasmopinae.","Eesti NSV Teaduste Akadeemia Toimetised, Geoloogia = Izvestiya Akademii Nauk Estonskoy SSR, Geologiya",35,4,156,159,"2004-12-15 01:29:07",20041215012907,,,1%,
"M. Aberhan","S. Nurnberg","S. Nurnberg",12266,"Kh. S.",Rozman,"L. G.",Severgina,,1983,"Llandeylovskiye brakhiopodovye kompleksy Mongolskogo i Gornogo Altaya. Llandeilian brachiopods assemblages of Mongolian and Gorny Altai.","Trudy - Sovmestnaya Sovetsko-Mongol'skaya Paleontologicheskaya Ekspeditsiya",20,,14,25,"2004-12-17 05:08:43",20041217050843,"journal article",,1%,
"P. Wagner","P. Wagner","P. Wagner",13090,T.M.,Sánchez,,,,2001,"Moluscos bivalvos de la Formación Molles (Arenigiano medio), sierra de Famatina, Argenitna",Ameghiniana,38,2,185,193,"2005-04-06 11:20:59",20050406112059,"journal article","Three new molluscan bivalves from the Molles Formation (Middle Arenig), Famatina Range, Argenitna.",,
"A. Miller","A. Hendy","A. Hendy",13139,S.,Peng,R.A.,Robison,,2000,"Agnostid biostratigraphy across the Middle-Upper Cambrian boundary in Hunan, China","Journal of Paleontology Memoir",53,,,,"2005-04-10 10:15:46",20050410101546,"journal article",,,
"A. Miller","A. Hendy","A. Hendy",13141,S.P.,Robson,G.S.,Nowlan,"B.R. Pratt",2003,"Middle to Upper Cambrian linguliformean brachiopods from the Deadwood Formation of subsurface Alberta and Saskatchewan, Canada","Journal of Paleontology",77,2,201,211,"2005-04-11 06:17:55",20050411061755,"journal article",,,
"P. Wagner","P. Wagner","P. Wagner",13175,D.M.,Rohr,R.B.,Blodgett,,1985,"Upper Ordovician Gastropoda from west-central Alaska","Journal of Paleontology",59,3,667,673,"2005-04-13 14:05:54",20060315102110,"journal article",,,
"P. Wagner","P. Wagner","P. Wagner",13177,D.M.,Rohr,J.,Frýda,"R.B. Blodgett",2003,"Alaskadiscus, a new bellerophontoidean gastropod from the Upper Ordovician of the York and Farewell terranes of Alaska","Short notes on Alaska geology 2003, Division of Geological and Geophysical Surveys Professional Report",120,,95,99,"2005-04-13 14:53:35",20050413145335,"journal article",,,
"M. Patzkowsky","Z. Krug","Z. Krug",13274,N.J.,Curtis,P.D.,Lane,,1997,"The Llandovery trilobites of England and Wales","Monograph of the Palaeontographical Society",151,,1,101,"2005-04-20 06:12:10",20050420061210,"journal article",,,
"M. Patzkowsky","Z. Krug","Z. Krug",13293,M.L.K.,Curtis,,,,1972,"The Silurian rocks of the Tortworth Inlier, Gloucestershire","Proceedings of the Geologists' Association",83,1,1,35,"2005-04-21 07:11:58",20050421071158,,,,
"P. Wagner","P. Wagner","P. Wagner",13388,C.,Poulsen,,,,1974,"Silurian Pelecypoda, Monoplacophora and Gastropoda from the reefy facies of the Offley Island Formation of Washington Land and Offley Island (Northwest Greenland)","Det Kongelige Danske Videnskabernes Selskab Biolgiske Skrifter",20,7,1,17,"2005-04-27 13:10:41",20050427131041,"journal article",,,
"P. Wagner","P. Wagner","P. Wagner",13484,T.,Kobayashi,,,,1955,"The Ordovician fossils from the McKay group in British Columbia, western Canada, with a note on the early Ordovician palaeogeography","Journal of the Faculty of Science, the Imperial University of Tokyo, Section 2",9,3,355,492,"2005-05-09 14:16:11",20050509141611,"journal article",,,
"M. Patzkowsky","Z. Krug","Z. Krug",13540,A.W.,Owen,M.A.,Parkes,,2000,"Trilobite faunas of the Duncannon Group: Caradoc stratigraphy, environments and palaeobiogeography of hte Leinster Terrane, Ireland",Palaeontology,43,2,219,269,"2005-05-17 06:39:13",20050517063913,"journal article",,,
"S. Peters","S. Peters","S. Peters",13544,SE,Peters,,,,2003,"The University of Chicago","EVENNESS, RICHNESS AND THE CAMBRIAN-PALEOZOIC FAUNAL TRANSITION IN NORTH AMERICA:   AN ASSEMBLAGE-LEVEL PERSPECTIVE ",,,1,279,"2005-05-18 04:30:45",20050930152114,"Ph.D. thesis",,,
"M. Patzkowsky","Z. Krug","Z. Krug",13545,M.,Romano,A.W.,Owen,,1993,"Early Caradoc Trilobites of Eastern Ireland and their paleogeographical significance",Palaeontology,36,3,681,720,"2005-05-18 05:40:02",20050518054029,"journal article",,,
"S. Holland","K. Bezusko-Layou","K. Bezusko-Layou",13546,R.D.,Kreisa,,,,1980,"Virginia Polytechnic Institute and State University",,,,1,355,"2005-05-18 08:04:01",20050518080401,"Ph.D. thesis","Title: The Martinsburg Formation (Middle and Upper Ordovician) and related facies in southwestern Virginia",,
"M. Patzkowsky","Z. Krug","Z. Krug",13695,P.M.,Sheehan,,,,1980,"The Late Ordovician and Silurian of the Eastern Great Basin, Part 3. Brachiopods of the Tony Grove Lake Member of the Laketown Dolomite","Milwaukee Public Museum Contributions in Biology and Geology",30,,1,23,"2005-06-06 10:12:17",20050606101217,"journal article",,,
"M. Patzkowsky","Z. Krug","Z. Krug",13700,P.M.,Sheehan,,,,1982,"Late Ordovician and Silurian of the eastern Great Basin Part 4. Late Llandovery and Wenlock brachiopods","Milwaukee Public Museum Contributions in Biology and Geology",50,,1,73,"2005-06-07 07:43:17",20050607074327,"journal article",,,
"P. Wagner","P. Wagner","P. Wagner",14192,L.E.,Popov,J.C.W.,Cope,"I.F. Nikitin",2004,"A new Ordovician rostroconch mollusc from Kazakhstan",Alcheringa,27,3,173,179,"2005-08-17 15:12:56",20050817151256,"journal article",,,
"S. Peters","S. Peters","S. Peters",14608,S.R.,Westrop,,,,1986,,"Palaeontographica Canadiana",,3,,,"2005-09-22 10:30:53",20050922103053,"serial monograph",,,
"S. Peters","S. Peters","S. Peters",14653,S.R.,Westrop,A.R.,Palmer,"A. Runkel",2005,"A new Sunwaptan (Late Cambrian) trilobite fauna from the Upper Mississippi valley","Journal of Paleontology",79,1,72,88,"2005-09-26 11:43:41",20050926114341,"journal article",,,
"S. Peters","S. Peters","S. Peters",14662,R.,Zhan,J.,Jin,,2005,"Brachiopods from the Middle Orodvician Shihtzupu Formation of Yunnan Province, China","Acta Palaeontologica Polonica",50,2,365,393,"2005-09-26 13:46:08",20050926134608,"journal article",,,
"S. Peters","S. Peters",,14664,S.R.,Westrop,,,,1992,"Upper Cambrian (Marjuman-Steptoean) trilobites from the Port Au Port Group, western Newfoundland","Journal of Paleontology",66,2,228,255,"2005-09-27 09:18:08",20050927091843,"journal article",,,
"S. Peters","S. Peters","S. Peters",14672,B.R.,Pratt,,,,1992,"Trilobites of the Marjuman and Steptoean stages (Upper Cambrian), Rabbitkettle Formation, southern Mackenzie Mountains, northwest Canada","Palaeontographica Canadiana",,9,1,109,"2005-09-28 16:16:53",20050930110715,"serial monograph",,,
"S. Peters","S. Peters",,14697,K.D.,Brett,S.R.,Westrop,,1996,"Trilobites of the Lower Ordovician (Ibexian) For Cassin Formation, Champlain Valley Region, New York State and Vermont","Journal of Paleontology",70,3,408,427,"2005-09-30 14:48:58",20050930144858,"journal article",,,
